YEAR,Annual Vehicle Miles of Travel (in millions)
2017,59892
2016,58974
2015,57314
2014,56400
2013,56458
2012,56389
2011,56051
2010,56206
2009,55631
2008,56148
2007,56766
2006,56616
2005,56599
2004,55118
2003,54669
2002,53761
2001,52017
2000,50300
1999,49075
1998,48434
1997,46991
1996,45945
1995,44917
1994,44201
1993,43339
1992,41809
1991,41348
1990,40535
1989,38660
1988,37644
1987,36783
1986,35334
1985,33456
1984,31878
1983,31159
1982,27437
1981,27972
1980,28507
